x,world-population,terrestrial-biosphere-degradation,domesticated-land,coastal-nitrogen,tropical-forest-lost,shrimp-aquaculture,ocean-acidification,marine-fish-capture,stratospheric-ozone,surface-temperature,nitrous-dioxide,methane,carbon-dioxide,international-tourism,telecommunications,transportation,fertilizer-consumption,paper-production,water-use,large-dam,primary-energy-use,foreign-direct-investement,real-gdp,urban-population
0.001218,,,,,,,,,,,0.170493,,,,,,,,,,,,,
0.001232,,,0.164838,,,,,,,,,,,,,,,,,,,,,
0.001413,,0.092574,,,,,,,,,,,,,,,,,,,,,,
0.001416,,,,,,,,,,,,0.091317,,,,,,,,,,,,
0.001494,,,,,,,,,,,,,0.060526,,,,,,,,,,,
0.001543,,,,,0.041046,,,,,,,,,,,,,,,,,,,
0.001593,,,,,,,,,,,,,,,,,,,,,,,,0.020938
0.004566,0.095724,,,,,,,,,,,,,,,,,,,,,,,
0.006,,,,,,,,,,,,,,,,,,,,,0.027862,,,
0.014471,,,,,,,,,,,0.178698,,,,,,,,,,,,,
0.014838,,,,0.032284,,,,,,,,,,,,,,,,,,,,
0.016397,,,0.166763,,,,,,,,,,,,,,,,,,,,,
0.01671,,,,,0.041715,,,,,,,,,,,,,,,,,,,
0.017212,,0.093872,,,,,,,,,,,,,,,,,,,,,,
0.017218,,,,,,,,,,,,0.091359,,,,,,,,,,,,
0.017294,,,,,,,,,,,,,0.061196,,,,,,,,,,,
0.017395,,,,,,,,,,,,,,,,,,,,,,,,0.02098
0.020367,0.095766,,,,,,,,,,,,,,,,,,,,,,,
0.0218,,,,,,,,,,,,,,,,,,,,,0.028532,,,
0.027727,,,,,,,,,,,0.185645,,,,,,,,,,,,,
0.030636,,,,0.033583,,,,,,,,,,,,,,,,,,,,
0.032194,,,0.168691,,,,,,,,,,,,,,,,,,,,,
0.032378,,0.09517,,,,,,,,,,,,,,,,,,,,,,
0.032507,,,,,0.043642,,,,,,,,,,,,,,,,,,,
0.03302,,,,,,,,,,,,0.091401,,,,,,,,,,,,
0.033095,,,,,,,,,,,,,0.061238,,,,,,,,,,,
0.033196,,,,,,,,,,,,,,,,,,,,,,,,0.021022
0.036169,0.095808,,,,,,,,,,,,,,,,,,,,,,,
0.037602,,,,,,,,,,,,,,,,,,,,,0.028574,,,
0.040344,,,,,,,,,,,0.195105,,,,,,,,,,,,,
0.045801,,,,0.035508,,,,,,,,,,,,,,,,,,,,
0.047357,,,0.171245,,,,,,,,,,,,,,,,,,,,,
0.047672,,,,,0.045567,,,,,,,,,,,,,,,,,,,
0.048176,,0.096468,,,,,,,,,,,,,,,,,,,,,,
0.048181,,,,,,,,,,,,0.094583,,,,,,,,,,,,
0.048269,,,,,,,,,,,,,0.059394,,,,,,,,,,,
0.048998,,,,,,,,,,,,,,,,,,,,,,,,0.021064
0.05197,0.09585,,,,,,,,,,,,,,,,,,,,,,,
0.053403,,,,,,,,,,,,,,,,,,,,,0.028616,,,
0.054869,,,,,,,,,,,0.20017,,,,,,,,,,,,,
0.060967,,,,0.036805,,,,,,,,,,,,,,,,,,,,
0.06252,,,0.173798,,,,,,,,,,,,,,,,,,,,,
0.062835,,,,,0.048121,,,,,,,,,,,,,,,,,,,
0.063343,,0.097765,,,,,,,,,,,,,,,,,,,,,,
0.063983,,,,,,,,,,,,0.094625,,,,,,,,,,,,
0.064074,,,,,,,,,,,,,0.058179,,,,,,,,,,,
0.064799,,,,,,,,,,,,,,,,,,,,,,,,0.021106
0.067769,0.097149,,,,,,,,,,,,,,,,,,,,,,,
0.06876,,,,,,,,,,,0.205863,,,,,,,,,,,,,
0.069203,,,,,,,,,,,,,,,,,,,,,0.029287,,,
0.076766,,,,0.038104,,,,,,,,,,,,,,,,,,,,
0.077683,,,0.176352,,,,,,,,,,,,,,,,,,,,,
0.078002,,,,,0.049418,,,,,,,,,,,,,,,,,,,
0.078511,,,,,,,,,,,,0.098434,,,,,,,,,,,,
0.078605,,,,,,,,,,,,,0.060731,,,,,,,,,,,
0.079143,,0.098436,,,,,,,,,,,,,,,,,,,,,,
0.080601,,,,,,,,,,,,,,,,,,,,,,,,0.021148
0.082935,0.098446,,,,,,,,,,,,,,,,,,,,,,,
0.083288,,,,,,,,,,,0.209672,,,,,,,,,,,,,
0.084371,,,,,,,,,,,,,,,,,,,,,0.029955,,,
0.091931,,,,0.04003,,,,,,,,,,,,,,,,,,,,
0.092846,,,0.178906,,,,,,,,,,,,,,,,,,,,,
0.093039,,,,,,,,,,,,0.102243,,,,,,,,,,,,
0.093799,,,,,0.051346,,,,,,,,,,,,,,,,,,,
0.094309,,0.099733,,,,,,,,,,,,,,,,,,,,,,
0.094405,,,,,,,,,,,,,0.061401,,,,,,,,,,,
0.096402,,,,,,,,,,,,,,,,,,,,,,,,0.02119
0.097816,,,,,,,,,,,0.213481,,,,,,,,,,,,,
0.0981,0.100371,,,,,,,,,,,,,,,,,,,,,,,
0.100173,,,,,,,,,,,,,,,,,,,,,0.029997,,,
0.107729,,,,0.041328,,,,,,,,,,,,,,,,,,,,
0.10801,,,0.18146,,,,,,,,,,,,,,,,,,,,,
0.108199,,,,,,,,,,,,0.106054,,,,,,,,,,,,
0.1083,,,,,,,,,,,,,0.065837,,,,,,,,,,,
0.108963,,,,,0.053271,,,,,,,,,,,,,,,,,,,
0.110108,,0.101032,,,,,,,,,,,,,,,,,,,,,,
0.112204,,,,,,,,,,,,,,,,,,,,,,,,0.021232
0.113618,,,,,,,,,,,0.213523,,,,,,,,,,,,,
0.113897,0.102299,,,,,,,,,,,,,,,,,,,,,,,
0.115974,,,,,,,,,,,,,,,,,,,,,0.030039,,,
0.122732,,,,,,,,,,,,0.107978,,,,,,,,,,,,
0.122894,,,,0.043254,,,,,,,,,,,,,,,,,,,,
0.123173,,,0.184014,,,,,,,,,,,,,,,,,,,,,
0.124101,,,,,,,,,,,,,0.065879,,,,,,,,,,,
0.124128,,,,,0.055197,,,,,,,,,,,,,,,,,,,
0.125274,,0.102329,,,,,,,,,,,,,,,,,,,,,,
