x,world-population,terrestrial-biosphere-degradation,domesticated-land,coastal-nitrogen,tropical-forest-lost,shrimp-aquaculture,ocean-acidification,marine-fish-capture,stratospheric-ozone,surface-temperature,nitrous-dioxide,methane,carbon-dioxide,international-tourism,telecommunications,transportation,fertilizer-consumption,paper-production,water-use,large-dam,primary-energy-use,foreign-direct-investement,real-gdp,urban-population,world-population-smoothed,terrestrial-biosphere-degradation-smoothed,domesticated-land-smoothed,coastal-nitrogen-smoothed,tropical-forest-lost-smoothed,shrimp-aquaculture-smoothed,ocean-acidification-smoothed,marine-fish-capture-smoothed,stratospheric-ozone-smoothed,surface-temperature-smoothed,nitrous-dioxide-smoothed,methane-smoothed,carbon-dioxide-smoothed,international-tourism-smoothed,telecommunications-smoothed,transportation-smoothed,fertilizer-consumption-smoothed,paper-production-smoothed,water-use-smoothed,large-dam-smoothed,primary-energy-use-smoothed,foreign-direct-investement-smoothed,real-gdp-smoothed,urban-population-smoothed
0.001218,,,,,,,,,,,0.170493,,,,,,,,,,,,,,,,,,,,,,,,0.180631195605102,,,,,,,,,,,,,
0.001232,,,0.164838,,,,,,,,,,,,,,,,,,,,,,,,0.16439367297456,,,,,,,,,,,,,,,,,,,,,
0.001413,,0.092574,,,,,,,,,,,,,,,,,,,,,,,,0.0927993343354765,,,,,,,,,,,,,,,,,,,,,,
0.001416,,,,,,,,,,,,0.091317,,,,,,,,,,,,,,,,,,,,,,,,0.0931087798627545,,,,,,,,,,,,
0.001494,,,,,,,,,,,,,0.060526,,,,,,,,,,,,,,,,,,,,,,,,0.0593846707492522,,,,,,,,,,,
0.001543,,,,,0.041046,,,,,,,,,,,,,,,,,,,,,,,,0.0405467740715094,,,,,,,,,,,,,,,,,,,
0.001593,,,,,,,,,,,,,,,,,,,,,,,,0.020938,,,,,,,,,,,,,,,,,,,,,,,,0.0212621979288477
0.004566,0.095724,,,,,,,,,,,,,,,,,,,,,,,,0.0934399028861743,,,,,,,,,,,,,,,,,,,,,,,
0.006,,,,,,,,,,,,,,,,,,,,,0.027862,,,,,,,,,,,,,,,,,,,,,,,,0.0281367425321576,,,
0.014471,,,,,,,,,,,0.178698,,,,,,,,,,,,,,,,,,,,,,,,0.185314161874408,,,,,,,,,,,,,
0.014838,,,,0.032284,,,,,,,,,,,,,,,,,,,,,,,,0.0322335507743148,,,,,,,,,,,,,,,,,,,,
0.016397,,,0.166763,,,,,,,,,,,,,,,,,,,,,,,,0.166698583987832,,,,,,,,,,,,,,,,,,,,,
0.01671,,,,,0.041715,,,,,,,,,,,,,,,,,,,,,,,,0.0422574453988508,,,,,,,,,,,,,,,,,,,
0.017212,,0.093872,,,,,,,,,,,,,,,,,,,,,,,,0.0939311772681204,,,,,,,,,,,,,,,,,,,,,,
0.017218,,,,,,,,,,,,0.091359,,,,,,,,,,,,,,,,,,,,,,,,0.0942333166211692,,,,,,,,,,,,
0.017294,,,,,,,,,,,,,0.061196,,,,,,,,,,,,,,,,,,,,,,,,0.0592490138858608,,,,,,,,,,,
0.017395,,,,,,,,,,,,,,,,,,,,,,,,0.02098,,,,,,,,,,,,,,,,,,,,,,,,0.0210804419188026
0.020367,0.095766,,,,,,,,,,,,,,,,,,,,,,,,0.0947352203324973,,,,,,,,,,,,,,,,,,,,,,,
0.0218,,,,,,,,,,,,,,,,,,,,,0.028532,,,,,,,,,,,,,,,,,,,,,,,,0.0283815581962957,,,
0.027727,,,,,,,,,,,0.185645,,,,,,,,,,,,,,,,,,,,,,,,0.18952445554896,,,,,,,,,,,,,
0.030636,,,,0.033583,,,,,,,,,,,,,,,,,,,,,,,,0.0337839678033691,,,,,,,,,,,,,,,,,,,,
0.032194,,,0.168691,,,,,,,,,,,,,,,,,,,,,,,,0.169135996813641,,,,,,,,,,,,,,,,,,,,,
0.032378,,0.09517,,,,,,,,,,,,,,,,,,,,,,,,0.0950474113141822,,,,,,,,,,,,,,,,,,,,,,
0.032507,,,,,0.043642,,,,,,,,,,,,,,,,,,,,,,,,0.0440636312393342,,,,,,,,,,,,,,,,,,,
0.03302,,,,,,,,,,,,0.091401,,,,,,,,,,,,,,,,,,,,,,,,0.0953985841702797,,,,,,,,,,,,
0.033095,,,,,,,,,,,,,0.061238,,,,,,,,,,,,,,,,,,,,,,,,0.0594202424268656,,,,,,,,,,,
0.033196,,,,,,,,,,,,,,,,,,,,,,,,0.021022,,,,,,,,,,,,,,,,,,,,,,,,0.0209447067810175
0.036169,0.095808,,,,,,,,,,,,,,,,,,,,,,,,0.0960613524241401,,,,,,,,,,,,,,,,,,,,,,,
0.037602,,,,,,,,,,,,,,,,,,,,,0.028574,,,,,,,,,,,,,,,,,,,,,,,,0.0286424953316936,,,
0.040344,,,,,,,,,,,0.195105,,,,,,,,,,,,,,,,,,,,,,,,0.192971613110489,,,,,,,,,,,,,
0.045801,,,,0.035508,,,,,,,,,,,,,,,,,,,,,,,,0.0352786199757269,,,,,,,,,,,,,,,,,,,,
0.047357,,,0.171245,,,,,,,,,,,,,,,,,,,,,,,,0.171511662612542,,,,,,,,,,,,,,,,,,,,,
0.047672,,,,,0.045567,,,,,,,,,,,,,,,,,,,,,,,,0.0458180113122032,,,,,,,,,,,,,,,,,,,
0.048176,,0.096468,,,,,,,,,,,,,,,,,,,,,,,,0.0962398450047731,,,,,,,,,,,,,,,,,,,,,,
0.048181,,,,,,,,,,,,0.094583,,,,,,,,,,,,,,,,,,,,,,,,0.0965453820462698,,,,,,,,,,,,
0.048269,,,,,,,,,,,,,0.059394,,,,,,,,,,,,,,,,,,,,,,,,0.0599287211353208,,,,,,,,,,,
0.048998,,,,,,,,,,,,,,,,,,,,,,,,0.021064,,,,,,,,,,,,,,,,,,,,,,,,0.0208607357984692
0.05197,0.09585,,,,,,,,,,,,,,,,,,,,,,,,0.0974258774368077,,,,,,,,,,,,,,,,,,,,,,,
0.053403,,,,,,,,,,,,,,,,,,,,,0.028616,,,,,,,,,,,,,,,,,,,,,,,,0.028918524924301,,,
0.054869,,,,,,,,,,,0.20017,,,,,,,,,,,,,,,,,,,,,,,,0.196261131205355,,,,,,,,,,,,,
0.060967,,,,0.036805,,,,,,,,,,,,,,,,,,,,,,,,0.0367796808044868,,,,,,,,,,,,,,,,,,,,
0.06252,,,0.173798,,,,,,,,,,,,,,,,,,,,,,,,0.173922682357008,,,,,,,,,,,,,,,,,,,,,
0.062835,,,,,0.048121,,,,,,,,,,,,,,,,,,,,,,,,0.0475911719068182,,,,,,,,,,,,,,,,,,,
0.063343,,0.097765,,,,,,,,,,,,,,,,,,,,,,,,0.0974129873052225,,,,,,,,,,,,,,,,,,,,,,
0.063983,,,,,,,,,,,,0.094625,,,,,,,,,,,,,,,,,,,,,,,,0.0977607941330767,,,,,,,,,,,,
0.064074,,,,,,,,,,,,,0.058179,,,,,,,,,,,,,,,,,,,,,,,,0.0608267859072874,,,,,,,,,,,
0.064799,,,,,,,,,,,,,,,,,,,,,,,,0.021106,,,,,,,,,,,,,,,,,,,,,,,,0.0208300878786307
0.067769,0.097149,,,,,,,,,,,,,,,,,,,,,,,,0.0988278258296784,,,,,,,,,,,,,,,,,,,,,,,
0.06876,,,,,,,,,,,0.205863,,,,,,,,,,,,,,,,,,,,,,,,0.198842881838594,,,,,,,,,,,,,
0.069203,,,,,,,,,,,,,,,,,,,,,0.029287,,,,,,,,,,,,,,,,,,,,,,,,0.0292086632270826,,,
0.076766,,,,0.038104,,,,,,,,,,,,,,,,,,,,,,,,0.0383501168597494,,,,,,,,,,,,,,,,,,,,
0.077683,,,0.176352,,,,,,,,,,,,,,,,,,,,,,,,0.176367959859495,,,,,,,,,,,,,,,,,,,,,
0.078002,,,,,0.049418,,,,,,,,,,,,,,,,,,,,,,,,0.0493867096223483,,,,,,,,,,,,,,,,,,,
0.078511,,,,,,,,,,,,0.098434,,,,,,,,,,,,,,,,,,,,,,,,0.098887680839431,,,,,,,,,,,,
0.078605,,,,,,,,,,,,,0.060731,,,,,,,,,,,,,,,,,,,,,,,,0.0619436668211289,,,,,,,,,,,
0.079143,,0.098436,,,,,,,,,,,,,,,,,,,,,,,,0.0986658201340955,,,,,,,,,,,,,,,,,,,,,,
0.080601,,,,,,,,,,,,,,,,,,,,,,,,0.021148,,,,,,,,,,,,,,,,,,,,,,,,0.020848594984752
0.082935,0.098446,,,,,,,,,,,,,,,,,,,,,,,,0.100201876477459,,,,,,,,,,,,,,,,,,,,,,,
0.083288,,,,,,,,,,,0.209672,,,,,,,,,,,,,,,,,,,,,,,,0.201007078088318,,,,,,,,,,,,,
0.084371,,,,,,,,,,,,,,,,,,,,,0.029955,,,,,,,,,,,,,,,,,,,,,,,,0.0295001917281961,,,
0.091931,,,,0.04003,,,,,,,,,,,,,,,,,,,,,,,,0.0398639204474186,,,,,,,,,,,,,,,,,,,,
0.092846,,,0.178906,,,,,,,,,,,,,,,,,,,,,,,,0.178846908205489,,,,,,,,,,,,,,,,,,,,,
0.093039,,,,,,,,,,,,0.102243,,,,,,,,,,,,,,,,,,,,,,,,0.100025635148314,,,,,,,,,,,,
0.093799,,,,,0.051346,,,,,,,,,,,,,,,,,,,,,,,,0.051283240794131,,,,,,,,,,,,,,,,,,,
0.094309,,0.099733,,,,,,,,,,,,,,,,,,,,,,,,0.099898579282957,,,,,,,,,,,,,,,,,,,,,,
0.094405,,,,,,,,,,,,,0.061401,,,,,,,,,,,,,,,,,,,,,,,,0.0634477357808217,,,,,,,,,,,
0.096402,,,,,,,,,,,,,,,,,,,,,,,,0.02119,,,,,,,,,,,,,,,,,,,,,,,,0.0209134467995353
0.097816,,,,,,,,,,,0.213481,,,,,,,,,,,,,,,,,,,,,,,,0.202678705609318,,,,,,,,,,,,,
0.0981,0.100371,,,,,,,,,,,,,,,,,,,,,,,,0.101601464534717,,,,,,,,,,,,,,,,,,,,,,,
0.100173,,,,,,,,,,,,,,,,,,,,,0.029997,,,,,,,,,,,,,,,,,,,,,,,,0.0298185529473988,,,
0.107729,,,,0.041328,,,,,,,,,,,,,,,,,,,,,,,,0.0414475258022753,,,,,,,,,,,,,,,,,,,,
0.10801,,,0.18146,,,,,,,,,,,,,,,,,,,,,,,,0.181362927175587,,,,,,,,,,,,,,,,,,,,,
0.108199,,,,,,,,,,,,0.106054,,,,,,,,,,,,,,,,,,,,,,,,0.101236012648968,,,,,,,,,,,,
0.1083,,,,,,,,,,,,,0.065837,,,,,,,,,,,,,,,,,,,,,,,,0.0649976144503504,,,,,,,,,,,
0.108963,,,,,0.053271,,,,,,,,,,,,,,,,,,,,,,,,0.0531259274719085,,,,,,,,,,,,,,,,,,,
0.110108,,0.101032,,,,,,,,,,,,,,,,,,,,,,,,0.101212096050242,,,,,,,,,,,,,,,,,,,,,,
0.112204,,,,,,,,,,,,,,,,,,,,,,,,0.021232,,,,,,,,,,,,,,,,,,,,,,,,0.0210218433196809
0.113618,,,,,,,,,,,0.213523,,,,,,,,,,,,,,,,,,,,,,,,0.203764897503017,,,,,,,,,,,,,
0.113897,0.102299,,,,,,,,,,,,,,,,,,,,,,,,0.103084437327085,,,,,,,,,,,,,,,,,,,,,,,
0.115974,,,,,,,,,,,,,,,,,,,,,0.030039,,,,,,,,,,,,,,,,,,,,,,,,0.0301530087394704,,,
0.122732,,,,,,,,,,,,0.107978,,,,,,,,,,,,,,,,,,,,,,,,0.102422714483821,,,,,,,,,,,,
0.122894,,,,0.043254,,,,,,,,,,,,,,,,,,,,,,,,0.0429739902408119,,,,,,,,,,,,,,,,,,,,
0.123173,,,0.184014,,,,,,,,,,,,,,,,,,,,,,,,0.183916443545452,,,,,,,,,,,,,,,,,,,,,
0.124101,,,,,,,,,,,,,0.065879,,,,,,,,,,,,,,,,,,,,,,,,0.0671104657177984,,,,,,,,,,,
0.124128,,,,,0.055197,,,,,,,,,,,,,,,,,,,,,,,,0.0549884993836076,,,,,,,,,,,,,,,,,,,
0.125274,,0.102329,,,,,,,,,,,,,,,,,,,,,,,,0.102500617269303,,,,,,,,,,,,,,,,,,,,,,
0.128006,,,,,,,,,,,,,,,,,,,,,,,,0.021274,,,,,,,,,,,,,,,,,,,,,,,,0.0211832370774984
0.128163,,,,,,,,,,,0.21042,,,,,,,,,,,,,,,,,,,,,,,,0.20405064424619,,,,,,,,,,,,,
0.12906,0.104853,,,,,,,,,,,,,,,,,,,,,,,,0.10454348992735,,,,,,,,,,,,,,,,,,,,,,,
0.131774,,,,,,,,,,,,,,,,,,,,,0.03071,,,,,,,,,,,,,,,,,,,,,,,,0.0305047407227865,,,
0.137895,,,,,,,,,,,,0.110532,,,,,,,,,,,,,,,,,,,,,,,,0.10369305639527,,,,,,,,,,,,
0.138628,,,,,,,,,,,,,0.070317,,,,,,,,,,,,,,,,,,,,,,,,0.0694024143671392,,,,,,,,,,,
0.138692,,,,0.044553,,,,,,,,,,,,,,,,,,,,,,,,0.0445707502528375,,,,,,,,,,,,,,,,,,,,
0.138968,,,0.18657,,,,,,,,,,,,,,,,,,,,,,,,0.186611807465281,,,,,,,,,,,,,,,,,,,,,
0.139925,,,,,0.057124,,,,,,,,,,,,,,,,,,,,,,,,0.056955171422292,,,,,,,,,,,,,,,,,,,
0.141071,,0.104256,,,,,,,,,,,,,,,,,,,,,,,,0.103874576842452,,,,,,,,,,,,,,,,,,,,,,
0.142702,,,,,,,,,,,0.20983,,,,,,,,,,,,,,,,,,,,,,,,0.20385406755014,,,,,,,,,,,,,
0.143807,,,,,,,,,,,,,,,,,,,,,,,,0.021316,,,,,,,,,,,,,,,,,,,,,,,,0.0214004748651955
0.144226,0.10615,,,,,,,,,,,,,,,,,,,,,,,,0.106041425330761,,,,,,,,,,,,,,,,,,,,,,,
